Key,Summary,Status,Priority,Affected Versions
HIVE-24851,resources leak on exception in AvroGenericRecordReader constructor,Closed,Major,"3.1.2, 4.0.0"
HIVE-24849,Create external table socket timeout when location has large number of files,Closed,Major,"2.3.4, 3.1.2, 4.0.0"
HIVE-24848,CBO failed with NPE,Resolved,Major,3.1.1
HIVE-24809,Build failure while resolving javax.el dependency,Closed,Major,4.0.0
HIVE-24807,Unknown column 'B0.CATALOG_NAME' in 'where clause',Resolved,Major,3.1.0
HIVE-24803,WorkloadManager doesn't update allocation and metrics after Kill Trigger action,Closed,Major,4.0.0
HIVE-24786,JDBC HttpClient should retry for idempotent and unsent http methods,Closed,Major,4.0.0
HIVE-24751,"Kill trigger in workload manager fails with ""No privilege"" exception when authorization is disabled.",Closed,Major,4.0.0
HIVE-24691,Ban commons-logging (again),Resolved,Minor,4.0.0
HIVE-24689,Changing file format (from ORC) is not supported for table xxx,Resolved,Major,3.1.2
HIVE-24653,Race condition between compactor marker generation and get splits,Closed,Minor,3.1.2
HIVE-24636,Memory leak due to stacking UDFClassLoader in Apache Commons LogFactory,Closed,Major,3.1.0
HIVE-24608,Switch back to get_table in HMS client for Hive 2.3.x,Resolved,Major,2.3.7
HIVE-24606,Multi-stage materialized CTEs can lose intermediate data,Closed,Major,"2.3.7, 3.1.2, 4.0.0"
HIVE-24595,Vectorization causing incorrect results for scalar subquery,Closed,Major,3.0.0
HIVE-24579,Incorrect Result For Groupby With Limit,Closed,Major,"2.3.7, 3.1.2, 4.0.0"
HIVE-24573,hive 3.1.2 drop table Sometimes it can't be deleted,Resolved,Blocker,3.1.2
HIVE-24570,Hive on spark tmp file should be delete when driver process finished,Closed,Major,"3.1.0, 4.0.0"
HIVE-24569,LLAP daemon leaks file descriptors/log4j appenders,Closed,Major,2.2.0
HIVE-24553,Exclude calcite from test-jar dependency of hive-exec,Resolved,Blocker,2.3.8
HIVE-24551,Hive should include transitive dependencies from calcite after shading it,Resolved,Blocker,2.3.8
HIVE-24550,Cleanup only transaction information for the current DriverContext,Closed,Major,4.0.0
HIVE-24530,Potential NPE in FileSinkOperator.closeRecordwriters method,Closed,Major,4.0.0
HIVE-24523,Vectorized read path for LazySimpleSerde does not honor the SERDEPROPERTIES for timestamp,Closed,Major,"3.2.0, 4.0.0"
HIVE-24517,Add mapreduce workflow information to job configuration in MergeFileTask,Resolved,Blocker,3.1.2
HIVE-24514,UpdateMDatabaseURI does not update managed location URI,Resolved,Major,4.0.0
HIVE-24512,Exclude calcite in packaging Hive,Resolved,Major,2.3.8
HIVE-24501,UpdateInputAccessTimeHook should not update stats,Closed,Major,4.0.0
HIVE-24467,ConditionalTask remove tasks that not selected exists thread safety problem,Closed,Major,"1.1.0, 2.3.4, 3.1.2"
HIVE-24446,Materialized View plan alters explicit cast type in query,Closed,Major,4.0.0
HIVE-24406,HiveConf creation in HiveMetastore's getMS() call adds ~100ms latency,Resolved,Major,2.3.4
HIVE-24404,Hive getUserName close db makes client operations lost metaStoreClient connection,Closed,Major,"2.3.7, 3.1.3, 4.0.0-alpha-1"
HIVE-24345,Re-enable flaky test: TestCleanupService#testEventualCleanupService_finishesCleanupBeforeExit,Closed,Major,4.0.0
HIVE-24342,isPathEncrypted should make sure resolved path also from HDFS,Closed,Major,3.1.2
HIVE-24322,"In case of direct insert, the attempt ID has to be checked when reading the manifest files",Closed,Major,4.0.0
HIVE-24319,unnecessary characters in hive-site.xml file in version 3.1.2,Resolved,Blocker,3.1.2
HIVE-24316,Upgrade ORC from 1.5.6 to 1.5.8 in branch-3.1,Closed,Major,3.1.3
HIVE-24293,Integer overflow in llap collision mask,Closed,Major,4.0.0
HIVE-24288,Files created by CompileProcessor have incorrect permissions,Closed,Major,3.1.0
HIVE-24256,REPL LOAD fails because of unquoted column name,Closed,Major,4.0.0
HIVE-24245,Vectorized PTF with count and distinct over partition producing incorrect results.,Closed,Critical,"3.1.0, 3.1.2"
HIVE-24218,Drop table used by a materialized view,Resolved,Critical,3.1.0
HIVE-24213,Incorrect exception in the Merge MapJoinTask into its child MapRedTask optimizer,Closed,Minor,4.0.0
HIVE-24198,Map side SMB join is producing wrong result,Resolved,Major,4.0.0
HIVE-24193,Select query on renamed hive acid table does not produce any output,Closed,Major,3.1.2
HIVE-24165,CBO: Query fails after multiple count distinct rewrite ,Resolved,Major,4.0.0
HIVE-24147,Table column names are not extracted correctly in Hive JDBC storage handler,Closed,Major,4.0.0
HIVE-24122,"When CBO is enable, CAST(STR as Bigint)IS NOT NULL result is wrong ",Closed,Major,"3.1.0, 3.1.2"
HIVE-24113,NPE in GenericUDFToUnixTimeStamp,Closed,Major,3.1.2
HIVE-24101,Invalid table alias order by columns(>=2) if cbo is false,Resolved,Major,3.1.0
HIVE-24099,"unix_timestamp,intersect,except throws NPE",Resolved,Major,3.1.0
HIVE-24097,correct NPE exception in HiveMetastoreAuthorizer,Closed,Minor,4.0.0
HIVE-24094,"cast type mismatch and use is not null, the results are error if cbo is true",Closed,Major,3.1.0
HIVE-24083,hcatalog error in Hadoop 3.3.0: authentication type needed,Resolved,Minor,3.1.2
HIVE-24070,ObjectStore.cleanWriteNotificationEvents OutOfMemory on large number of pending events,Closed,Major,4.0.0
HIVE-24068,Add re-execution plugin for handling DAG submission and unmanaged AM failures,Closed,Major,4.0.0
HIVE-24030,Upgrade ORC to 1.5.10,Closed,Major,4.0.0
HIVE-24020,Automatic Compaction not working in existing partitions for Streaming Ingest with Dynamic Partition,Closed,Major,"3.1.2, 4.0.0"
HIVE-23980,Shade guava from existing Hive versions,Resolved,Major,2.3.7
HIVE-23974,(hadoop3.3.0 + hive2.3.7) start hiveserver2 get exception: java.lang.IllegalAccessError: tried to access method com.google.common.base.Stopwatch,Resolved,Major,2.3.7
HIVE-23968,CTAS with TBLPROPERTIES ('transactional'='false') does not entertain translated table location,Closed,Major,4.0.0
HIVE-23962,Make bin/hive pick user defined jdbc url ,Closed,Major,4.0.0
HIVE-23925,Flaky test TestJdbcWithMiniHS2,Closed,Major,4.0.0
HIVE-23887,Reset table level basic/column stats during import.,Closed,Minor,4.0.0
HIVE-23873,Querying Hive JDBCStorageHandler table fails with NPE when CBO is off,Closed,Critical,"3.1.0, 3.1.1, 3.1.2"
HIVE-23872,SemanticException Failed to get a spark session: org.apache.hadoop.hive.ql.metadata.HiveException: Failed to create Spark client for Spark session,Resolved,Blocker,3.1.2
HIVE-23851,MSCK REPAIR Command With Partition Filtering Fails While Dropping Partitions,Closed,Major,4.0.0
HIVE-23808,"""MSCK REPAIR.. DROP Partitions fail"" with kryo Exception ",Resolved,Major,3.2.0
HIVE-23807,Wrong results with vectorization enabled,Resolved,Major,2.3.0
HIVE-23802,“merge files” job was submited to default queue when set hive.merge.tezfiles to true,Resolved,Major,3.1.0
HIVE-23763,Query based minor compaction produces wrong files when rows with different buckets Ids are processed by the same FileSinkOperator,Closed,Major,4.0.0
HIVE-23752,Cast as Date for invalid date produce the valid output,Resolved,Major,4.0.0
HIVE-23719,MetaStoreDirectSql need to optime QuerySQL,Resolved,Minor,"3.0.0, 3.1.2"
HIVE-23717,In jdbcUrl add config to create External + purge table by default	,Closed,Major,3.1.0
HIVE-23704,Thrift HTTP Server Does Not Handle Auth Handle Correctly,Closed,Major,"2.3.7, 3.1.2"
HIVE-23606,LLAP: Delay In DirectByteBuffer Clean Up For EncodedReaderImpl,Closed,Major,3.0.0
HIVE-23592,"Routine ""makeIntPair"" is Not Correct",Closed,Minor,3.2.0
HIVE-23583,Upgrade to ant 1.10.9 due to CVEs,Closed,Major,3.1.2
HIVE-23582,LLAP: Make SplitLocationProvider impl pluggable,Closed,Major,4.0.0
HIVE-23580,"deleteOnExit set is not cleaned up, causing memory pressure",Closed,Major,4.0.0
HIVE-23550,GetSplits does not retries queries for CacliteSemanticException,Resolved,Major,3.1.0
HIVE-23498,Disable HTTP Trace method on ThriftHttpCliService,Closed,Major,3.1.2
HIVE-23489,dynamic partition failed use insert overwrite,Resolved,Major,2.1.1
HIVE-23454,Querying hive table which has Materialized view fails with HiveAccessControlException,Closed,Critical,"3.0.0, 3.2.0"
HIVE-23452,Exception occur when a SQL query across data stored in two relational DB by JDBCStorageHandler with Tez,Resolved,Major,3.1.0
HIVE-23442,ACID major compaction doesn't read base directory correctly if it was written by insert overwrite,Closed,Major,4.0.0
HIVE-23435,Full outer join result is missing rows ,Closed,Major,3.1.0
HIVE-23423,Check of disabling hash aggregation ignores grouping set,Closed,Major,4.0.0
HIVE-23408,Hive on Tez :  Kafka storage handler broken in secure environment,Closed,Major,4.0.0
HIVE-23358,MSCK REPAIR should remove all insignificant zeroes from numeric partition values,Closed,Minor,4.0.0
HIVE-23347,MSCK REPAIR cannot discover partitions with upper case directory names.,Closed,Minor,3.1.0
HIVE-23345,INT64 Parquet timestamps cannot be read into bigint Hive type,Closed,Major,4.0.0
HIVE-23339,SBA does not check permissions for DB location specified in Create or Alter database query,Closed,Critical,"3.1.0, 4.0.0"
HIVE-23265,Duplicate rowsets are returned with Limit and Offset set,Closed,Critical,"3.1.0, 3.1.2"
HIVE-23230,"""get_splits"" UDF ignores limit clause while creating splits.",Closed,Major,3.1.0
HIVE-23178,Add Tez Total Order Partitioner,Closed,Major,"3.1.0, 3.1.1, 3.1.2"
HIVE-23129,Cast invalid string to date returns incorrect result,Resolved,Major,3.1.2
HIVE-23128,SHOW CREATE TABLE Creates Incorrect Syntax When Database Specified,Closed,Major,"2.4.0, 3.1.2"
HIVE-23088,Using Strings from log4j breaks non-log4j users,Closed,Major,3.1.2
HIVE-23086,Two tests fail on branch-2.3,Closed,Major,2.3.6
HIVE-23058,Compaction task reattempt fails with FileAlreadyExistsException,Closed,Major,3.1.0
HIVE-23033,MSSQL metastore schema init script doesn't initialize NOTIFICATION_SEQUENCE,Closed,Major,"3.1.0, 3.0.0, 3.1.1, 3.1.2"
HIVE-22988,LLAP: If consistent splits is disabled ordering instances is not required,Closed,Major,4.0.0
HIVE-22982,TopN Key efficiency check might disable filter too soon,Closed,Major,4.0.0
HIVE-22967,Support hive.reloadable.aux.jars.path for Hive on Tez,Closed,Minor,"2.3.6, 3.1.2"
HIVE-22963,HiveParser misinterpretes quotes in parameters of built-in functions or UDFs,Resolved,Major,"2.3.6, 3.1.1"
